32
60
-0.75 0 0 -0.695524 1 1
0.75 0 0 -1.10586 1 1
-0.75 20 50 -50.0875 0 0
0.75 20 50 -50.1617 0 0
0 19 0 -0.178885 0 0
-0.75 18 0 -0.19025 0 0
0.75 18 0 -0.475093 0 0
0 17 0 -0.178885 0 0
-0.75 16 0 -0.310697 0 0
0.75 16 0 -0.740297 0 0
0 15 0 -0.178885 0 0
-0.75 14 0 -0.445565 0 0
0.75 14 0 -0.97199 0 0
0 13 0 -0.178885 0 0
-0.75 12 0 -0.591008 0 0
0.75 12 0 -1.11111 0 0
0 11 0 -0.178885 0 0
-0.75 10 0 -0.780263 0 0
0.75 10 0 -1.29707 0 0
0 9 0 -0.178885 0 0
-0.75 8 0 -0.97199 0 0
0.75 8 0 -1.55362 0 0
0 7 0 -0.178885 0 0
-0.75 6 0 -1.06675 0 0
0.75 6 0 -1.80578 0 0
0 5 0 -0.178885 0 0
-0.75 4 0 -1.171 0 0
0.75 4 0 -1.9309 0 0
0 3 0 -0.178885 0 0
-0.75 2 0 -1.34487 0 0
0.75 2 0 -2.05354 0 0
0 1 0 -0.178885 0 0
4 2 -83.3333 7.28 1.25 6.35 2
4 3 83.3333 3.14 1.25 4.76 4
4 5 83.2215 3.14 1.25 4.76 4
4 6 -83.4451 7.28 1.25 6.35 2
2 5 16.5792 1.82 2 3.18 3
3 6 -116.828 9.81 2 6.35 2
7 5 -83.2215 7.28 1.25 6.35 2
7 6 83.4451 3.14 1.25 4.76 4
7 8 83.3333 3.14 1.25 4.76 4
7 9 -83.3333 7.28 1.25 6.35 2
5 8 149.543 5.52 2 4.76 4
6 9 -250.816 18.27 2 9.52 2
10 8 -83.3333 7.28 1.25 6.35 2
10 9 83.3333 3.14 1.25 4.76 4
10 11 83.2215 3.14 1.25 4.76 4
10 12 -83.4451 7.28 1.25 6.35 2
8 11 282.566 10.59 2 7.94 4
9 12 -384.889 29.12 2 12.7 2
13 11 -83.2215 7.28 1.25 6.35 2
13 12 83.4451 3.14 1.25 4.76 4
13 14 83.3333 3.14 1.25 4.76 4
13 15 -83.3333 7.28 1.25 6.35 2
11 14 415.275 15.34 2 7.94 4
12 15 -519.373 35.14 2 19.05 2
16 14 -83.3333 7.28 1.25 6.35 2
16 15 83.3333 3.14 1.25 4.76 4
16 17 83.2215 3.14 1.25 4.76 4
16 18 -83.4451 7.28 1.25 6.35 2
14 17 548.017 21.18 2 11.11 4
15 18 -653.818 39.25 2 12.7 2
19 17 -83.2215 7.28 1.25 6.35 2
19 18 83.4451 3.14 1.25 4.76 4
19 20 83.3333 3.14 1.25 4.76 4
19 21 -83.3333 7.28 1.25 6.35 2
17 20 680.391 29.12 2 12.7 4
18 21 -788.627 48.68 2 15.88 2
22 20 -83.3333 7.28 1.25 6.35 2
22 21 83.3333 3.14 1.25 4.76 4
22 23 83.2215 3.14 1.25 4.76 4
22 24 -83.4451 7.28 1.25 6.35 2
20 23 812.753 35.14 2 19.05 4
21 24 -923.514 57.93 2 19.05 2
25 23 -83.2215 7.28 1.25 6.35 2
25 24 83.4451 3.14 1.25 4.76 4
25 26 83.3333 3.14 1.25 4.76 4
25 27 -83.3333 7.28 1.25 6.35 2
23 26 944.84 36.02 2 15.88 4
24 27 -1058.83 67.04 2 22.23 2
28 26 -83.3333 7.28 1.25 6.35 2
28 27 83.3333 3.14 1.25 4.76 4
28 29 83.2215 3.14 1.25 4.76 4
28 30 -83.4451 7.28 1.25 6.35 2
26 29 1077 42.73 2 19.05 4
27 30 -1194.1 67.04 2 22.23 2
31 29 -83.2215 7.28 1.25 6.35 2
31 30 83.4451 3.14 1.25 4.76 4
31 0 83.3333 3.14 1.25 4.76 4
31 1 -83.3333 7.28 1.25 6.35 2
29 0 1208.81 48.68 2 15.88 4
30 1 -1329.66 75.97 2 25.4 2
30879.1
90m
1649.28kg
0.237896m
